"" "(Intercept)" "time" "X1" "X2" "" "" "" "" "W" "B_t" "beta_shared" "W" "B_t" "beta_shared" ""
126 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
101 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
102 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
127 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
103 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
128 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
104 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1
105 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
129 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
106 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
130 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
107 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
131 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
132 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
108 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
133 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
109 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
110 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0
134 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
111 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
135 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
136 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
113 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0
137 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
138 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1
114 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
139 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
115 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1
140 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1
116 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
141 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
117 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
118 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
142 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
143 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1
119 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
151 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
144 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
120 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
145 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1
121 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
152 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
146 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
153 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1
122 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
147 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
154 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0
148 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
123 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1
149 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1
155 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
124 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
150 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
125 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1
156 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1
157 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
158 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
176 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
201 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1
227 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
159 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
177 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
228 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
202 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
160 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
178 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
229 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
203 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1
161 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
